Common_name,Scientific_name,Set,Color,Power_text,Flavor_text,Predator,Flocking,Bonus_card,Victory_points,Nest_type,Egg_limit,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild_food,food_cost_flexible,food_cost_paid_by_cards,Total_food_cost,Swift_Start,North_America,Central_America,South_America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard_Birder,Bird_Bander,Bird_Counter,Bird_Feeder,Diet_Specialist,Enclosure_Builder,Endangered_Species_Protector,Falconer,Fishery_Manager,Food_Web_Expert,Forester,Large_Bird_Specialist,Nest_Box_Builder,Omnivore_Expert,Passerine_Specialist,Platform_Builder,Prairie_Manager,Rodentologist,Small_Clutch_Specialist,Viticulturalist,Wetland_Scientist,Wildlife_Gardener
Abbott's Booby,Papasula abbotti,oceania,white,"Draw 3 bonus cards, then discard 2. You may discard bonus cards you did not draw this turn.","This large, endangered seabird lives only on Christmas Island.",FALSE,FALSE,TRUE,5,platform,1,190,FALSE,FALSE,TRUE,0,0,2,0,0,0,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Acorn Woodpecker,Melanerpes formicivorus,core,brown,"Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.","In a single dead tree, these birds may drill as many as 50,000 holes for storing acorns.",FALSE,FALSE,FALSE,5,cavity,4,46,TRUE,FALSE,FALSE,0,3,0,0,0,0,0,FALSE,FALSE,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
American Avocet,Recurvirostra americana,core,pink,"When another player takes the ""lay eggs"" action, lay 1 [egg] on another bird with a [ground] nest.","American avocets build their own nests, but they also parasitize other birds' nests.",FALSE,FALSE,FALSE,6,ground,2,79,FALSE,FALSE,TRUE,2,1,0,0,0,0,0,FALSE,FALSE,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
American Bittern,Botaurus lentiginosus,core,brown,Player(s) with the fewest birds in their [wetland] draw 1 [card].,"Bitterns hide in reeds and cattails, where they are well camouflaged.",FALSE,FALSE,FALSE,7,platform,2,107,FALSE,FALSE,TRUE,1,0,1,0,1,0,0,FALSE,FALSE,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
American Coot,Fulica americana,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].","These omnivorous birds eat a lot of algae, but also seeds, fish, insects, and mollusks.",FALSE,TRUE,FALSE,3,platform,5,61,FALSE,FALSE,TRUE,0,1,0,0,0,0,1,FALSE,FALSE,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
American Crow,Corvus brachyrhynchos,core,brown,Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.,"These intelligent birds steal eggs and food from other birds, and cache food for later.",FALSE,FALSE,FALSE,4,platform,2,99,TRUE,TRUE,TRUE,0,0,0,0,0,0,1,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
American Goldfinch,Spinus tristis,core,white,Gain 3 [seed] from the supply.,"Goldfinches breed late, after the milkweek and thistle have gone to seed.",FALSE,FALSE,FALSE,3,bowl,3,23,FALSE,TRUE,FALSE,0,2,0,0,0,0,0,FALSE,FALSE,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
American Kestrel,Falco sparverius,core,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",Kestrels track rodents by their urine and will cache surplus kills for later.,TRUE,FALSE,FALSE,5,cavity,3,56,FALSE,TRUE,FALSE,1,0,0,0,1,0,0,FALSE,FALSE,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
American Oystercatcher,Haematopus palliatus,core,white,"Draw [card] equal to the number of players +1. Starting with you and proceeding clockwise, each player selects 1 of those cards and places it in their hand. You keep the extra card.",These birds feed not just on oysters and shellfish but also other invertebrates.,FALSE,FALSE,FALSE,5,ground,2,81,FALSE,FALSE,TRUE,2,0,0,0,0,0,0,FALSE,FALSE,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
American Redstart,Setophaga ruticilla,core,brown,Gain 1 [die] from the birdfeeder.,"Redstarts get their name from the Old English word ""steart,"" meaning tail.",FALSE,FALSE,FALSE,4,bowl,2,20,TRUE,FALSE,FALSE,1,0,0,1,0,0,0,FALSE,FALSE,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
American Robin,Turdus migratorius,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].",Robins have been known to roost in groups of a hundred thousand or more.,FALSE,TRUE,FALSE,1,bowl,4,43,TRUE,TRUE,FALSE,1,0,0,1,0,0,0,TRUE,FALSE,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
American White Pelican,Pelecanus erythrorhynchos,core,brown,Discard 1 [fish] to tuck 2 [card] from the deck behind this bird.,Pelicans work together to herd fish and then scoop them up.,FALSE,TRUE,FALSE,5,ground,1,274,FALSE,FALSE,TRUE,0,0,2,0,0,0,0,FALSE,FALSE,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
American Woodcock,Scolopax minor,core,,,The woodcock's amazing mating display involves repeated dives from 90 meters.,FALSE,FALSE,FALSE,9,ground,2,46,TRUE,TRUE,FALSE,2,1,0,0,0,0,0,FALSE,FALSE,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Anhinga,Anhinga anhinga,core,brown,"Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.","This bird is called ""snakebird""---it swims with only head and neck above water.",TRUE,FALSE,FALSE,6,platform,2,114,FALSE,FALSE,TRUE,0,0,2,0,0,0,0,FALSE,FALSE,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Anna's Hummingbird,Calypte anna,core,brown,"Each player gains 1 [die] from the birdfeeder, starting with the player of your choice.",These birds' impressive mating displays involve diving from over 30 meters in the air.,FALSE,FALSE,FALSE,4,bowl,2,13,TRUE,TRUE,TRUE,0,0,0,0,0,0,1,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Ash-Throated Flycatcher,Myiarchus cinerascens,core,white,Lay 1 [egg] on each of your birds with a [cavity] nest.,These birds are adapted to dry places: they get all their water from their food.,FALSE,FALSE,FALSE,4,cavity,4,30,FALSE,TRUE,FALSE,2,0,0,1,0,0,0,FALSE,FALSE,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Asian Emerald Dove,Chalcophaps indica,asia,white,Lay 2 [egg] on each other bird in this column.,This is the state bird of the Indian state of Tamil Nadu.,FALSE,FALSE,FALSE,6,platform,2,44,TRUE,TRUE,FALSE,0,1,0,2,0,0,0,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Asian Koel,Eudynamys scolopaceus,asia,pink,"When another player takes the ""lay eggs"" action, this bird lays 1 [egg] on another bird with a [platform] nest. You may go 3 over its egg limit while using this power.",Male koels may distract a bird from its nest so their partner can lay eggs there.,FALSE,FALSE,FALSE,4,,0,62,TRUE,TRUE,TRUE,1,0,0,1,0,0,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Atlantic Puffin,Fratercula arctica,core,white,Draw 2 new bonus cards and keep 1.,Puffins' breeding areas are threatened by climate change.,FALSE,FALSE,TRUE,8,wild,1,53,FALSE,FALSE,TRUE,0,0,3,0,0,0,0,FALSE,FALSE,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Audouin's Gull,Ichthyaetus audouinii,european,brown,Draw 2 [card] from the deck. Tuck 1 behind this bird and keep the other.,"The population of Audouin's gulls is recovering nicely, from a low of about 1,000 pairs in the 1960s.",FALSE,TRUE,FALSE,1,ground,2,132,FALSE,FALSE,TRUE,0,0,1,0,0,0,1,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Australasian Pipit,Anthus novaeseelandiae,oceania,yellow,"Tuck 1 [card] from the deck behind each bird in your [grassland], including this one.",This grassland bird also thrives in human-made grasslands like gardens and playing fields.,FALSE,TRUE,FALSE,3,ground,4,31,FALSE,TRUE,FALSE,1,1,0,0,0,0,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
